,playerId,action_season,name,team,action_date
337,8482157,2023,Will Cuylle,NYR,2023-06-28
338,8481726,2023,Adam Edstrom,NYR,2023-06-28
339,8481554,2023,Kaapo Kakko,NYR,2023-06-28
340,8475184,2023,Chris Kreider,NYR,2023-06-28
341,8482109,2023,Alexis Lafrenière,NYR,2023-06-28
342,8479991,2023,Jake Leschyshyn,NYR,2023-06-28
343,8482747,2023,Brennan Othmann,NYR,2023-06-28
344,8478550,2023,Artemi Panarin,NYR,2023-06-28
345,8482460,2023,Matt Rempe,NYR,2023-06-28
346,8483669,2023,Adam Sykora,NYR,2023-06-28
347,8476389,2023,Vincent Trocheck,NYR,2023-06-28
348,8476918,2023,Jimmy Vesey,NYR,2023-06-28
349,8476459,2023,Mika Zibanejad,NYR,2023-06-28
350,8479323,2023,Adam Fox,NYR,2023-06-28
351,8477433,2023,Ben Harpur,NYR,2023-06-28
352,8481708,2023,Zac Jones,NYR,2023-06-28
353,8479324,2023,Ryan Lindgren,NYR,2023-06-28
354,8482067,2023,Connor Mackey,NYR,2023-06-28
355,8480817,2023,K'Andre Miller,NYR,2023-06-28
356,8481525,2023,Matthew Robertson,NYR,2023-06-28
357,8483407,2023,Brandon Scanlin,NYR,2023-06-28
358,8482073,2023,Braden Schneider,NYR,2023-06-28
359,8476885,2023,Jacob Trouba,NYR,2023-06-28
360,8475839,2023,Louis Domingue,NYR,2023-06-28
361,8482193,2023,Dylan Garand,NYR,2023-06-28
362,8471734,2023,Jonathan Quick,NYR,2023-06-28
363,8478048,2023,Igor Shesterkin,NYR,2023-06-28
364,8477493,2023,Aleksander Barkov,FLA,2023-06-28
365,8477935,2023,Sam Bennett,FLA,2023-06-28
366,8479981,2023,Jonah Gadjovich,FLA,2023-06-28
367,8480825,2023,Patrick Giles,FLA,2023-06-28
368,8479367,2023,William Lockwood,FLA,2023-06-28
369,8482113,2023,Anton Lundell,FLA,2023-06-28
370,8480185,2023,Eetu Luostarinen,FLA,2023-06-28
371,8477933,2023,Sam Reinhart,FLA,2023-06-28
372,8478542,2023,Evan Rodrigues,FLA,2023-06-28
373,8482713,2023,Mackie Samoskevich,FLA,2023-06-28
374,8482088,2023,Justin Sourdif,FLA,2023-06-28
375,8479314,2023,Matthew Tkachuk,FLA,2023-06-28
376,8477409,2023,Carter Verhaeghe,FLA,2023-06-28
377,8484304,2023,Uvis Balinskis,FLA,2023-06-28
378,8482107,2023,Mike Benning,FLA,2023-06-28
379,8481600,2023,Tobias Bjornfot,FLA,2023-06-28
380,8477932,2023,Aaron Ekblad,FLA,2023-06-28
381,8478055,2023,Gustav Forsling,FLA,2023-06-28
382,8482641,2023,Matt Kiersted,FLA,2023-06-28
383,8478859,2023,Niko Mikkola,FLA,2023-06-28
384,8475683,2023,Sergei Bobrovsky,FLA,2023-06-28
385,8481519,2023,Spencer Knight,FLA,2023-06-28
386,8482673,2023,Xavier Bourgault,EDM,2023-06-28
387,8477934,2023,Leon Draisaitl,EDM,2023-06-28
388,8482077,2023,Dylan Holloway,EDM,2023-06-28
389,8475786,2023,Zach Hyman,EDM,2023-06-28
390,8475169,2023,Evander Kane,EDM,2023-06-28
